Этап	Задачи	Сроки	Длительность	Комментарий
Этап 0. Аналитика и проектирование	Анализ старого кода Alarm	октябрь 2025	1 неделя	Изучение существующей логики
	Проектирование архитектуры БД	октябрь 2025	2 недели	Схема таблиц и связей
	Дизайн REST API	октябрь 2025	1 неделя	Спецификация эндпоинтов
	Макеты интерфейса	октябрь 2025	1 неделя	UI/UX дизайн основных форм
	Техническое задание	октябрь 2025	1 неделя	Финальная документация
	Согласование с заказчиком	до конца октября	по готовности	Правки и утверждение
Этап 1. MVP (Минимально жизнеспособный продукт)	Backend: Модели данных	ноябрь 2025	1 неделя	SQLAlchemy модели
	Backend: Основные API эндпоинты	ноябрь 2025	1 неделя	CRUD операции
	Интеграция с БД агентства	ноябрь 2025	1 неделя	Синхронизация событий
	Frontend: Базовые компоненты	ноябрь 2025	1 неделя	React компоненты, роутинг
	Frontend: Страница событий	ноябрь 2025	1 неделя	Список, фильтры, детали
	Backend: Поиск и фильтрация	ноябрь 2025	1 неделя	PostgreSQL FTS
	Frontend: Поиск и фильтры	ноябрь 2025	1 неделя	Интерфейс поиска
	Система авторизации	ноябрь 2025	1 неделя	JWT, роли пользователей
	Базовая генерация отчётов	декабрь 2025	1 неделя	Excel/PDF экспорт
	Frontend: Страница отчётов	декабрь 2025	1 неделя	Интерфейс создания отчётов
	Фоновые задачи (Celery)	декабрь 2025	1 неделя	Автоматическая синхронизация
	Тестирование MVP	декабрь 2025	1 неделя	Юнит-тесты, отладка
	Развёртывание на тестовом сервере	декабрь 2025	несколько дней	Docker Compose, настройка
	Демонстрация заказчику	до конца декабря	по готовности	Показ работающей системы
Новогодние каникулы	Перерыв в работе	конец декабря – начало января	—	Нерабочие дни
Этап 2. Финальная версия	Интеграция с 1С	январь 2026	1 неделя	REST API, синхронизация договоров
	Автоматические отчёты	январь 2026	1 неделя	Cron задачи, шаблоны отчётов
	Расширенный поиск	январь 2026	1 неделя	Полнотекстовый поиск, индексы
	Система уведомлений	январь 2026	несколько дней	Email, Telegram интеграция
	Dashboard и аналитика	конец января 2026	1 неделя	Графики, статистика, KPI
	Финальное тестирование	конец января 2026	несколько дней	Интеграционные тесты
	Документация пользователя	конец января 2026	несколько дней	Руководство, инструкции
	Развёртывание на продакшн	конец января 2026	по готовности	Миграция данных, запуск
Буфер / Доработки	Исправления по замечаниям	февраль 2026	по необходимости	Исправление найденных проблем
	Оптимизация производительности	февраль 2026	по необходимости	Ускорение запросов, кэширование
	Обучение пользователей	февраль 2026	по договорённости	Инструктаж операторов
	Финальная приёмка	февраль 2026	по готовности	Подписание акта выполненных работ